name,outlet_name,address,postal_code,muis_halal_status,certificate_number,type,scheme,sub_scheme,data_sources,muis_place_id,halaltag_place_id,X,Y,geocode_source
DOUGH CULTURE,,377 HOUGANG STREET 32 #B1-16 530377,530377,MUIS Halal Certified,EESB20230000030,0.0,100.0,108.0,"muis,halaltag",0a24b696-af57-4b5a-af1d-815fe8f04bcb,150.0,34854.0667209625,38311.4102715347,postal_exact
DOUGH CULTURE,,23 SERANGOON CENTRAL #B2-09 NEX 556083,556083,MUIS Halal Certified,EESB20240001095,0.0,100.0,108.0,"muis,halaltag",0246652a-fd3c-4a8e-a0bf-34a376910365,150.0,32289.4083088608,36976.3859132938,postal_exact
DOUGH CULTURE PTE LTD,,930 YISHUN AVENUE 2 #B1-10 NORTHPOINT 769098,769098,MUIS Halal Certified,EEBN19110010548,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,28273.5290191257,45714.3116263431,postal_exact
DOUGH CULTURE PTE LTD,,681 PUNGGOL DRIVE #B1-17 820681,820681,MUIS Halal Certified,EEBN21050012355,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,36891.3954429701,42737.9701953474,postal_exact
DOUGH CULTURE,,70 COMPASSVALE BOW #01-07 544692,544692,MUIS Halal Certified,EESB20230000566,0.0,100.0,108.0,"muis,halaltag",0246652a-fd3c-4a8e-a0bf-34a376910365,150.0,34565.9086148739,40640.5285312459,postal_exact
DOUGH CULTURE PTE LTD,,10 EUNOS ROAD 8 #01-151A SINGAPORE POST CENTRE 408600,408600,MUIS Halal Certified,EEBN21020009003,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,34806.9933473254,33466.3257959317,postal_exact
DOUGH CULTURE PTE LTD,,30 SEMBAWANG DRIVE #B1-34 SUN PLAZA 757713,757713,MUIS Halal Certified,EEBN21040012199,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,26462.0589625053,47759.7519863788,postal_exact
DOUGH CULTURE PTE LTD,,4 TAMPINES CENTRAL 5 #B1-K16 TAMPINES MALL 529510,529510,MUIS Halal Certified,EEBN19120010564,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,40393.5604594583,37178.8963100612,postal_exact
DOUGH CULTURE,,11 BIDADARI PARK DRIVE #B1-K26 THE WOODLEIGH MALL 367803,367803,MUIS Halal Certified,EESB20230000626,0.0,100.0,108.0,"muis,halaltag",0246652a-fd3c-4a8e-a0bf-34a376910365,150.0,32277.0183821376,35651.5520587377,postal_exact
DOUGH CULTURE PTE LTD,,83 PUNGGOL CENTRAL #01-K5 WATERWAY POINT (EAST WING) 828761,828761,MUIS Halal Certified,EEBN19120010570,0.0,100.0,108.0,"muis,halaltag",d54efa73-ca47-4771-ad30-b27fc4dae026,150.0,35657.8013379965,43139.2621246278,postal_exact
