outlet_id,name,address,X,Y,distance_to_network,network_node
63,AYAM PENYET PRESIDENT,17 PETIR ROAD #B2-57 & 58 HILLION MALL 678278,20156.924196275,40045.5291034393,106.86963818115339,"(20245.0, 39985.0)"
64,AYAM PENYET PRESIDENT,112 EAST COAST ROAD #04-07 112 KATONG 428802,35982.6165148774,31948.7392463963,51.78977420857146,"(35990.0, 32000.0)"
65,AYAM PENYET PRESIDENT,1 NORTH COAST AVENUE #01-03 1 NORTH COAST 737663,23333.3124220399,47576.9898145162,105.94667466703308,"(23405.0, 47655.0)"
66,AYAM PENYET PRESIDENT,1 Stadium Place #01-23 397628,32432.8422906362,31712.9829503335,229.67780300212252,"(32645.0, 31625.0)"
67,AYAM PENYET PRESIDENT,304 ORCHARD ROAD #03-36/37 LUCKY PLAZA 238863,28071.6446550656,31871.1689420138,79.1106007066346,"(28065.0, 31950.0)"
68,AYAM PENYET PRESIDENT,930 YISHUN AVENUE 2 #B1-54 NORTHPOINT 769098,28273.5290191257,45714.3116263431,87.31268758245913,"(28230.0, 45790.0)"
69,Ayam Penyet President Express,1187 UPPER SERANGOON ROAD #01-17 THE MIDTOWN 533971,34896.83710723,39169.0242907554,59.82978210361884,"(34955.0, 39155.0)"
70,AYAM PENYET PRESIDENT,2 TAI THONG CRESCENT #01-15 THE VENUE SHOPPES 347836,32001.1766515719,34557.2744909097,44.49909390262919,"(32045.0, 34565.0)"
71,ANDES,1 JELEBU ROAD #03-10 BUKIT PANJANG PLAZA 677743,20325.461808118,40210.2194124069,95.37592907559548,"(20320.0, 40115.0)"
74,ANDES,5 CHANGI BUSINESS PARK CENTRAL 1 #02-02a CHANGI CITY POINT 486038,42426.1948593352,35142.0820227042,175.74132141315383,"(42505.0, 34985.0)"
75,ANDES,1 Pasir Ris Close #02-325 E!Hub @ Downtown East 519599,41557.3568058563,39854.1394968368,171.3939167939587,"(41655.0, 39995.0)"
76,ANDES,3 SIMEI STREET 6 #01-13 EASTPOINT MALL 528833,41321.990633836,36095.4413322229,189.13675414034847,"(41240.0, 35925.0)"
77,ANDES,750 Chai Chee Road #01-30 Technopark @ Chai Chee 469000,37880.8159072176,33988.3764167186,176.40198237101578,"(38020.0, 33880.0)"
78,ANDES,2 JURONG EAST STREET 21 #01-96 IMM BUILDING 609601,18381.9356864095,35229.409786731,99.29584256024583,"(18480.0, 35245.0)"
79,ANDES,6 WOODLANDS SQUARE #01-13/16 WOODS SQUARE 737737,22728.8046400957,46316.1292806994,64.41833402573907,"(22665.0, 46325.0)"
80,AJ Delights (S82 & 83) @ Alexandra Village Food Centre,120 BUKIT MERAH LANE 1 #01-82&83 Alexandra Village Food Centre 150120,24791.9139356269,29858.7134501822,49.99235308179299,"(24755.0, 29825.0)"
81,AJ Delights Snacks,339 ANCHORVALE ROAD #B1-02 ANCHORVALE VILLAGE 540339,34133.9829132929,42075.8777559884,97.90369572385146,"(34060.0, 42140.0)"
